Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
Below 20,Male,Metro,Maharashtra,Homemaker,50000-100000,Rarely,During travel,Utility,Traditional,"Gift sets, Cushion covers",Sling bag,Decorative organizers,Moderate embroidery,Strong mirror work,Bright colors,Weddings,1000-2000,1000-2000,500-1500,Sometimes,Festival combo pack,Yes,Return policy,4,Yes,Likely
41-50,Female,Tier 3 / Rural,Tamil Nadu,Freelancer,25000-50000,Occasionally,Retail stores,Design,Depends on product,"Handbags, Jackets / shrugs, Cushion covers",Sling bag,Cushion covers,Moderate embroidery,Strong mirror work,Pastel shades,Office use,500-1000,2000-4000,Below 500,Sometimes,Free shipping,Depends on reviews,Product images,4,Yes,Highly likely
41-50,Female,Metro,Rajasthan,Homemaker,Below 25000,Frequently,Online marketplaces,Brand,Fusion,"Laptop sleeves / utility pouches, Gift sets, Handbags",Sling bag,Table runners,Minimal embroidery,No mirror work,Earth tones,Festive use,Below 500,Below 1000,Above 3000,No,Free shipping,No,Return policy,3,No,Unlikely
Above 50,Male,Tier 2,Tamil Nadu,Salaried Employee,25000-50000,Frequently,Local exhibitions,Utility,Fusion,Handbags,Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Festive use,500-1000,1000-2000,1500-3000,No,Free shipping,No,Product images,2,Yes,Unsure
Below 20,Male,Tier 1,Maharashtra,Salaried Employee,50000-100000,Never,Local exhibitions,Price,Fusion,Laptop sleeves / utility pouches,Office handbag,Wall décor textile,Heavy embroidery,No mirror work,Bright colors,Festive use,Above 2000,1000-2000,Above 3000,Sometimes,Festival combo pack,Yes,Reviews,1,No,Likely
Below 20,Female,Tier 1,Karnataka,Freelancer,Above 200000,Never,Online marketplaces,Authenticity,Depends on product,Cushion covers,Tote bag,Wall décor textile,Moderate embroidery,Strong mirror work,Pastel shades,Gifting,500-1000,Below 1000,Above 3000,Sometimes,Free shipping,Depends on reviews,Reviews,2,No,Unsure
Below 20,Female,Tier 3 / Rural,Karnataka,Other,100000-200000,Frequently,During travel,Design,Depends on product,Laptop sleeves / utility pouches,Tote bag,Decorative organizers,Minimal embroidery,Light mirror work,Bright colors,Office use,1000-2000,2000-4000,Above 3000,No,Free shipping,No,Reviews,1,No,Highly likely
Below 20,Male,Tier 3 / Rural,Karnataka,Other,Below 25000,Frequently,Online marketplaces,Design,Minimal modern,"Jackets / shrugs, Gift sets, Laptop sleeves / utility pouches",Clutch,Table runners,Minimal embroidery,Strong mirror work,Earth tones,Office use,500-1000,2000-4000,1500-3000,Strongly yes,Flat discount,Yes,Product images,5,No,Likely
31-40,Female,Metro,Gujarat,Salaried Employee,25000-50000,Frequently,During travel,Brand,Depends on product,"Gift sets, Jackets / shrugs, Handbags",Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Pastel shades,Festive use,1000-2000,2000-4000,500-1500,Strongly yes,Buy 2 Get 1,Depends on reviews,Brand story,4,No,Unsure
31-40,Male,Tier 2,Telangana,Homemaker,100000-200000,Rarely,During travel,Design,Traditional,Handbags,Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Earth tones,Gifting,500-1000,1000-2000,1500-3000,No,Free shipping,No,Return policy,1,Yes,Unsure
21-30,Female,Metro,Karnataka,Homemaker,50000-100000,Frequently,Instagram stores,Price,Traditional,"Cushion covers, Handbags",Sling bag,Table runners,Heavy embroidery,No mirror work,Earth tones,Gifting,500-1000,1000-2000,500-1500,No,Flat discount,No,Return policy,5,No,Unsure
31-40,Female,Tier 3 / Rural,Karnataka,Freelancer,Below 25000,Never,Online marketplaces,Authenticity,Minimal modern,"Laptop sleeves / utility pouches, Gift sets, Jackets / shrugs",Tote bag,Cushion covers,Minimal embroidery,Light mirror work,Earth tones,Office use,Below 500,Below 1000,Above 3000,No,Buy 2 Get 1,Depends on reviews,Reviews,1,No,Likely
Below 20,Female,Tier 1,West Bengal,Salaried Employee,Above 200000,Never,Online marketplaces,Price,Traditional,Cushion covers,Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,1000-2000,500-1500,Strongly yes,Buy 2 Get 1,Yes,Reviews,3,No,Unlikely
Below 20,Male,Tier 3 / Rural,West Bengal,Salaried Employee,25000-50000,Occasionally,Instagram stores,Design,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Jackets / shrugs",Clutch,Table runners,Moderate embroidery,Light mirror work,Bright colors,Gifting,1000-2000,Below 1000,500-1500,No,Flat discount,No,Reviews,4,No,Very unlikely
Above 50,Female,Metro,Gujarat,Homemaker,50000-100000,Rarely,Local exhibitions,Price,Minimal modern,"Handbags, Cushion covers, Laptop sleeves / utility pouches",Clutch,Table runners,Minimal embroidery,Strong mirror work,Earth tones,Weddings,Below 500,2000-4000,1500-3000,Strongly yes,Free shipping,Yes,Product images,1,Yes,Unsure
Below 20,Male,Tier 2,Delhi,Salaried Employee,25000-50000,Rarely,During travel,Design,Depends on product,"Handbags, Gift sets, Laptop sleeves / utility pouches",Sling bag,Wall décor textile,Moderate embroidery,Strong mirror work,Pastel shades,Festive use,1000-2000,Below 1000,Below 500,Strongly yes,Buy 2 Get 1,Depends on reviews,Brand story,2,Yes,Unsure
41-50,Female,Tier 3 / Rural,Gujarat,Other,50000-100000,Occasionally,Instagram stores,Design,Fusion,Cushion covers,Office handbag,Cushion covers,Minimal embroidery,No mirror work,Bright colors,Festive use,500-1000,Above 4000,1500-3000,Sometimes,Free shipping,Depends on reviews,Product images,5,Yes,Unlikely
31-40,Female,Tier 1,Delhi,Salaried Employee,Above 200000,Occasionally,Instagram stores,Brand,Traditional,"Handbags, Laptop sleeves / utility pouches",Sling bag,Cushion covers,Moderate embroidery,No mirror work,Pastel shades,Gifting,Below 500,1000-2000,1500-3000,Sometimes,Festival combo pack,Yes,Reviews,2,No,Unlikely
41-50,Female,Tier 2,Maharashtra,Student,Above 200000,Occasionally,Instagram stores,Price,Traditional,Laptop sleeves / utility pouches,Office handbag,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Festive use,500-1000,Below 1000,Below 500,Strongly yes,Flat discount,Yes,Brand story,5,No,Unsure
Above 50,Female,Metro,Telangana,Business Owner,50000-100000,Never,Local exhibitions,Authenticity,Depends on product,Jackets / shrugs,Tote bag,Table runners,Moderate embroidery,Light mirror work,Bright colors,Festive use,1000-2000,Above 4000,500-1500,Strongly yes,Flat discount,Depends on reviews,Return policy,1,No,Unlikely
Below 20,Female,Tier 2,Karnataka,Homemaker,50000-100000,Frequently,Local exhibitions,Price,Traditional,"Handbags, Jackets / shrugs",Tote bag,Decorative organizers,Minimal embroidery,Strong mirror work,Earth tones,Weddings,Below 500,2000-4000,500-1500,No,Festival combo pack,Yes,Product images,3,Yes,Likely
Above 50,Female,Tier 1,West Bengal,Business Owner,Below 25000,Frequently,During travel,Brand,Traditional,"Cushion covers, Handbags",Office handbag,Table runners,Heavy embroidery,No mirror work,Earth tones,Office use,1000-2000,1000-2000,1500-3000,Strongly yes,Free shipping,No,Brand story,5,No,Unsure
41-50,Male,Metro,Delhi,Salaried Employee,100000-200000,Occasionally,During travel,Price,Fusion,"Laptop sleeves / utility pouches, Gift sets, Cushion covers",Sling bag,Wall décor textile,Moderate embroidery,Light mirror work,Earth tones,Daily use,Above 2000,Below 1000,1500-3000,Sometimes,Free shipping,Yes,Product images,5,Yes,Unsure
Above 50,Female,Tier 2,Karnataka,Homemaker,50000-100000,Never,Online marketplaces,Utility,Fusion,"Handbags, Cushion covers, Jackets / shrugs",Clutch,Wall décor textile,Minimal embroidery,Light mirror work,Black / neutral,Gifting,Below 500,Below 1000,500-1500,No,Festival combo pack,No,Product images,3,Yes,Unlikely
Above 50,Female,Tier 2,Rajasthan,Business Owner,Below 25000,Occasionally,Local exhibitions,Utility,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches",Sling bag,Cushion covers,Minimal embroidery,No mirror work,Bright colors,Weddings,Below 500,2000-4000,500-1500,Sometimes,Flat discount,No,Reviews,2,Yes,Unsure
21-30,Female,Tier 3 / Rural,Tamil Nadu,Student,Below 25000,Rarely,Local exhibitions,Brand,Traditional,Cushion covers,Clutch,Decorative organizers,Heavy embroidery,Light mirror work,Black / neutral,Gifting,500-1000,2000-4000,1500-3000,Sometimes,Flat discount,Depends on reviews,Brand story,1,No,Unlikely
Above 50,Male,Tier 3 / Rural,Delhi,Freelancer,100000-200000,Never,Local exhibitions,Brand,Depends on product,Cushion covers,Tote bag,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Daily use,Below 500,2000-4000,Above 3000,No,Buy 2 Get 1,Yes,Reviews,4,No,Unlikely
Above 50,Male,Metro,Tamil Nadu,Salaried Employee,50000-100000,Occasionally,Local exhibitions,Utility,Fusion,Jackets / shrugs,Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Bright colors,Weddings,500-1000,2000-4000,Above 3000,No,Flat discount,Yes,Brand story,4,Yes,Unsure
Above 50,Male,Tier 2,West Bengal,Student,100000-200000,Occasionally,During travel,Brand,Traditional,Laptop sleeves / utility pouches,Clutch,Wall décor textile,Moderate embroidery,Light mirror work,Bright colors,Daily use,Below 500,2000-4000,500-1500,Sometimes,Buy 2 Get 1,No,Reviews,5,No,Very unlikely
Above 50,Male,Tier 1,Maharashtra,Freelancer,100000-200000,Occasionally,Online marketplaces,Authenticity,Fusion,Jackets / shrugs,Sling bag,Wall décor textile,Moderate embroidery,Strong mirror work,Black / neutral,Daily use,500-1000,Below 1000,Above 3000,Sometimes,Flat discount,Yes,Product images,1,No,Likely
21-30,Female,Metro,Maharashtra,Business Owner,50000-100000,Frequently,Retail stores,Price,Traditional,"Jackets / shrugs, Cushion covers",Clutch,Table runners,Heavy embroidery,No mirror work,Pastel shades,Daily use,1000-2000,1000-2000,Below 500,Strongly yes,Festival combo pack,Yes,Brand story,4,No,Very unlikely
31-40,Male,Tier 2,West Bengal,Student,25000-50000,Never,Local exhibitions,Utility,Depends on product,Laptop sleeves / utility pouches,Office handbag,Cushion covers,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,Below 1000,500-1500,No,Festival combo pack,Depends on reviews,Return policy,4,No,Highly likely
21-30,Female,Metro,Tamil Nadu,Salaried Employee,25000-50000,Occasionally,Online marketplaces,Design,Fusion,"Gift sets, Handbags, Laptop sleeves / utility pouches",Tote bag,Wall décor textile,Minimal embroidery,No mirror work,Earth tones,Gifting,Below 500,Above 4000,1500-3000,No,Flat discount,No,Reviews,2,Yes,Likely
Below 20,Female,Tier 1,Maharashtra,Homemaker,25000-50000,Never,Retail stores,Authenticity,Traditional,"Cushion covers, Gift sets, Laptop sleeves / utility pouches",Clutch,Table runners,Moderate embroidery,No mirror work,Earth tones,Office use,Below 500,2000-4000,Below 500,Sometimes,Buy 2 Get 1,No,Reviews,5,Yes,Unlikely
31-40,Male,Metro,West Bengal,Student,Below 25000,Rarely,Retail stores,Price,Depends on product,Gift sets,Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Pastel shades,Office use,1000-2000,Below 1000,Above 3000,Sometimes,Flat discount,Yes,Reviews,4,No,Unsure
Below 20,Female,Metro,West Bengal,Student,Below 25000,Frequently,Retail stores,Brand,Minimal modern,"Gift sets, Jackets / shrugs, Handbags",Sling bag,Wall décor textile,Heavy embroidery,Strong mirror work,Bright colors,Office use,500-1000,2000-4000,Above 3000,Strongly yes,Buy 2 Get 1,No,Return policy,1,No,Unsure
Above 50,Male,Tier 2,Delhi,Freelancer,50000-100000,Never,Instagram stores,Price,Minimal modern,"Gift sets, Jackets / shrugs",Tote bag,Wall décor textile,Moderate embroidery,No mirror work,Pastel shades,Weddings,500-1000,2000-4000,Above 3000,Sometimes,Festival combo pack,No,Reviews,5,No,Unsure
21-30,Female,Tier 1,Tamil Nadu,Salaried Employee,50000-100000,Rarely,Retail stores,Design,Depends on product,"Gift sets, Cushion covers",Sling bag,Wall décor textile,Heavy embroidery,No mirror work,Earth tones,Festive use,500-1000,2000-4000,500-1500,Sometimes,Buy 2 Get 1,Yes,Reviews,3,Yes,Unsure
21-30,Male,Tier 3 / Rural,Karnataka,Business Owner,Above 200000,Occasionally,Retail stores,Authenticity,Fusion,"Handbags, Laptop sleeves / utility pouches",Sling bag,Table runners,Minimal embroidery,Light mirror work,Pastel shades,Office use,1000-2000,Below 1000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Product images,4,Yes,Highly likely
Above 50,Male,Tier 3 / Rural,Tamil Nadu,Salaried Employee,100000-200000,Rarely,Online marketplaces,Price,Depends on product,Cushion covers,Clutch,Table runners,Minimal embroidery,Light mirror work,Earth tones,Gifting,1000-2000,Above 4000,Below 500,Strongly yes,Buy 2 Get 1,No,Brand story,3,No,Very unlikely
21-30,Female,Metro,Delhi,Freelancer,Below 25000,Never,Instagram stores,Price,Fusion,Handbags,Office handbag,Cushion covers,Moderate embroidery,Strong mirror work,Pastel shades,Weddings,1000-2000,2000-4000,Below 500,Sometimes,Free shipping,Yes,Brand story,1,Yes,Unsure
31-40,Female,Tier 3 / Rural,Tamil Nadu,Other,50000-100000,Rarely,During travel,Brand,Depends on product,"Laptop sleeves / utility pouches, Cushion covers",Clutch,Decorative organizers,Minimal embroidery,No mirror work,Pastel shades,Festive use,500-1000,Above 4000,1500-3000,Strongly yes,Festival combo pack,Yes,Return policy,2,Yes,Highly likely
21-30,Male,Tier 3 / Rural,Delhi,Homemaker,Below 25000,Never,During travel,Authenticity,Fusion,Handbags,Clutch,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Festive use,1000-2000,Above 4000,Below 500,Strongly yes,Buy 2 Get 1,Depends on reviews,Product images,5,No,Likely
21-30,Female,Metro,Karnataka,Homemaker,100000-200000,Occasionally,Retail stores,Utility,Depends on product,"Handbags, Laptop sleeves / utility pouches",Office handbag,Wall décor textile,Heavy embroidery,Light mirror work,Earth tones,Office use,500-1000,Below 1000,500-1500,No,Buy 2 Get 1,No,Brand story,4,Yes,Highly likely
Below 20,Female,Tier 2,Delhi,Salaried Employee,100000-200000,Rarely,Online marketplaces,Design,Minimal modern,Laptop sleeves / utility pouches,Sling bag,Decorative organizers,Minimal embroidery,Light mirror work,Earth tones,Gifting,1000-2000,2000-4000,500-1500,No,Flat discount,Yes,Product images,4,No,Very unlikely
Below 20,Female,Tier 1,Gujarat,Homemaker,25000-50000,Frequently,Retail stores,Price,Traditional,Cushion covers,Tote bag,Decorative organizers,Minimal embroidery,No mirror work,Earth tones,Office use,Above 2000,1000-2000,Above 3000,Sometimes,Festival combo pack,No,Product images,5,No,Unsure
31-40,Female,Tier 1,Telangana,Freelancer,Below 25000,Frequently,Online marketplaces,Utility,Fusion,"Jackets / shrugs, Gift sets",Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Black / neutral,Office use,Below 500,Below 1000,1500-3000,No,Flat discount,Depends on reviews,Reviews,5,No,Likely
Above 50,Male,Tier 3 / Rural,Gujarat,Business Owner,Above 200000,Frequently,Retail stores,Authenticity,Fusion,"Cushion covers, Laptop sleeves / utility pouches, Jackets / shrugs",Office handbag,Wall décor textile,Moderate embroidery,No mirror work,Bright colors,Daily use,500-1000,1000-2000,1500-3000,Strongly yes,Buy 2 Get 1,Depends on reviews,Return policy,3,Yes,Unsure
Below 20,Female,Tier 1,Karnataka,Freelancer,Above 200000,Rarely,During travel,Utility,Traditional,Handbags,Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Black / neutral,Festive use,Above 2000,Above 4000,Below 500,Strongly yes,Buy 2 Get 1,Yes,Reviews,2,No,Unlikely
Above 50,Male,Tier 1,Delhi,Business Owner,Below 25000,Rarely,Local exhibitions,Brand,Depends on product,"Gift sets, Handbags, Jackets / shrugs",Sling bag,Table runners,Heavy embroidery,Strong mirror work,Black / neutral,Festive use,Below 500,2000-4000,Below 500,No,Festival combo pack,Depends on reviews,Product images,4,Yes,Unlikely
21-30,Female,Tier 1,Delhi,Homemaker,50000-100000,Occasionally,Instagram stores,Authenticity,Minimal modern,Laptop sleeves / utility pouches,Office handbag,Cushion covers,Heavy embroidery,Strong mirror work,Pastel shades,Daily use,Above 2000,Below 1000,500-1500,Strongly yes,Flat discount,Yes,Return policy,4,Yes,Unlikely
41-50,Female,Metro,West Bengal,Homemaker,Above 200000,Frequently,Instagram stores,Authenticity,Depends on product,"Jackets / shrugs, Cushion covers, Laptop sleeves / utility pouches",Sling bag,Table runners,Heavy embroidery,Strong mirror work,Bright colors,Festive use,500-1000,2000-4000,Above 3000,No,Festival combo pack,Yes,Product images,4,No,Unsure
Above 50,Female,Metro,Gujarat,Freelancer,100000-200000,Frequently,Online marketplaces,Utility,Minimal modern,Jackets / shrugs,Tote bag,Table runners,Moderate embroidery,No mirror work,Pastel shades,Office use,500-1000,1000-2000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Return policy,5,Yes,Likely
Above 50,Female,Tier 2,Gujarat,Student,50000-100000,Rarely,Local exhibitions,Design,Fusion,"Handbags, Cushion covers, Gift sets",Tote bag,Table runners,Minimal embroidery,Light mirror work,Pastel shades,Daily use,1000-2000,1000-2000,Below 500,No,Festival combo pack,No,Reviews,1,No,Unsure
31-40,Female,Tier 1,Karnataka,Student,Above 200000,Occasionally,Retail stores,Utility,Minimal modern,Handbags,Tote bag,Decorative organizers,Minimal embroidery,Strong mirror work,,Festive use,Above 2000,Above 4000,1500-3000,Sometimes,Festival combo pack,Yes,Return policy,4,No,Highly likely
31-40,Female,Tier 3 / Rural,Delhi,Freelancer,50000-100000,Frequently,Local exhibitions,Design,Minimal modern,"Handbags, Jackets / shrugs",Clutch,Wall décor textile,Minimal embroidery,No mirror work,Black / neutral,Office use,500-1000,1000-2000,Below 500,Sometimes,Free shipping,Depends on reviews,Brand story,3,No,Unlikely
21-30,Female,Tier 2,Maharashtra,Homemaker,Above 200000,Occasionally,Local exhibitions,Brand,Fusion,"Cushion covers, Handbags",Sling bag,Cushion covers,Moderate embroidery,No mirror work,Bright colors,Weddings,Below 500,Below 1000,Above 3000,No,Free shipping,Yes,Reviews,3,No,Very unlikely
Above 50,Male,Tier 2,West Bengal,Other,100000-200000,Occasionally,Online marketplaces,Authenticity,Traditional,Handbags,Sling bag,Table runners,Moderate embroidery,No mirror work,Earth tones,Weddings,Above 2000,2000-4000,1500-3000,No,Free shipping,Depends on reviews,Product images,2,Yes,Very unlikely
41-50,Female,Tier 2,Maharashtra,Other,Below 25000,Occasionally,During travel,Design,Minimal modern,"Cushion covers, Laptop sleeves / utility pouches, Gift sets",Clutch,Table runners,Moderate embroidery,Light mirror work,Pastel shades,Festive use,1000-2000,2000-4000,500-1500,Sometimes,Festival combo pack,Depends on reviews,Return policy,5,No,Likely
Above 50,Female,Tier 2,Telangana,Business Owner,25000-50000,Occasionally,Retail stores,Utility,Traditional,"Gift sets, Laptop sleeves / utility pouches, Cushion covers",Office handbag,Decorative organizers,Heavy embroidery,No mirror work,Pastel shades,Festive use,Above 2000,Below 1000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Product images,4,No,Highly likely
Above 50,Male,Tier 1,Telangana,Student,25000-50000,Never,Online marketplaces,Authenticity,Fusion,"Laptop sleeves / utility pouches, Jackets / shrugs",Office handbag,Cushion covers,Heavy embroidery,No mirror work,Bright colors,Weddings,Below 500,1000-2000,1500-3000,Strongly yes,Festival combo pack,Depends on reviews,Brand story,2,No,Likely
41-50,Female,Tier 2,Telangana,Salaried Employee,50000-100000,Rarely,Instagram stores,Price,Depends on product,Gift sets,Clutch,Cushion covers,Heavy embroidery,No mirror work,Earth tones,Festive use,1000-2000,Below 1000,1500-3000,Sometimes,Flat discount,No,Product images,4,Yes,Highly likely
41-50,Female,Tier 3 / Rural,Delhi,Homemaker,Below 25000,Never,During travel,Brand,Minimal modern,Handbags,Office handbag,Wall décor textile,Moderate embroidery,Light mirror work,Bright colors,Office use,Above 2000,Above 4000,1500-3000,Strongly yes,Free shipping,Depends on reviews,Return policy,3,Yes,Unlikely
Above 50,Female,Metro,Maharashtra,Other,Below 25000,Occasionally,Local exhibitions,Utility,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Office handbag,Decorative organizers,Moderate embroidery,No mirror work,Earth tones,Office use,500-1000,2000-4000,1500-3000,Sometimes,Buy 2 Get 1,No,Product images,2,No,Unlikely
31-40,Male,Tier 3 / Rural,Karnataka,Salaried Employee,Above 200000,Never,During travel,Brand,Traditional,"Gift sets, Laptop sleeves / utility pouches",Clutch,Wall décor textile,Minimal embroidery,Light mirror work,Earth tones,Weddings,Above 2000,Above 4000,Below 500,No,Free shipping,Depends on reviews,Return policy,4,Yes,Very unlikely
41-50,Female,Metro,Telangana,Other,Below 25000,Never,Retail stores,Brand,Fusion,"Jackets / shrugs, Gift sets",Office handbag,Cushion covers,Minimal embroidery,No mirror work,Pastel shades,Weddings,Above 2000,1000-2000,Below 500,No,Buy 2 Get 1,Yes,Brand story,1,No,Unlikely
Below 20,Female,Tier 1,Telangana,Homemaker,50000-100000,Occasionally,Retail stores,Utility,Depends on product,Jackets / shrugs,Office handbag,Table runners,Minimal embroidery,Light mirror work,Pastel shades,Gifting,1000-2000,1000-2000,500-1500,Sometimes,Free shipping,Depends on reviews,Brand story,5,No,Unsure
21-30,Male,Tier 3 / Rural,Delhi,Homemaker,Above 200000,Frequently,Retail stores,Brand,Fusion,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Bright colors,Daily use,Below 500,1000-2000,Above 3000,No,Festival combo pack,Yes,Reviews,4,Yes,Likely
Below 20,Female,Metro,Gujarat,Freelancer,100000-200000,Frequently,Online marketplaces,Design,Depends on product,"Laptop sleeves / utility pouches, Cushion covers",Office handbag,Decorative organizers,Moderate embroidery,Light mirror work,Bright colors,Weddings,500-1000,Above 4000,500-1500,No,Free shipping,No,Product images,5,No,Highly likely
41-50,Female,Tier 2,Telangana,Other,100000-200000,Never,Online marketplaces,Price,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches, Gift sets",Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Festive use,Below 500,1000-2000,Below 500,Sometimes,Free shipping,Yes,Brand story,5,No,Highly likely
Below 20,Female,Tier 3 / Rural,Rajasthan,Freelancer,50000-100000,Rarely,During travel,Price,Fusion,Cushion covers,Office handbag,Table runners,Minimal embroidery,Strong mirror work,Black / neutral,Office use,500-1000,1000-2000,1500-3000,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,3,Yes,Likely
21-30,Female,Metro,Tamil Nadu,Student,Above 200000,Never,Local exhibitions,Design,Fusion,Handbags,Office handbag,Decorative organizers,Moderate embroidery,Strong mirror work,Earth tones,Weddings,1000-2000,Above 4000,Below 500,Strongly yes,Buy 2 Get 1,Yes,Return policy,1,Yes,Unlikely
21-30,Female,Tier 2,West Bengal,Student,100000-200000,Frequently,Instagram stores,Utility,Traditional,"Handbags, Gift sets",Clutch,Wall décor textile,Moderate embroidery,Strong mirror work,Bright colors,Daily use,Above 2000,Below 1000,Above 3000,No,Free shipping,Depends on reviews,Return policy,4,No,Unlikely
21-30,Female,Tier 2,Telangana,Homemaker,50000-100000,Rarely,Retail stores,Authenticity,Fusion,"Gift sets, Jackets / shrugs",Office handbag,Decorative organizers,Moderate embroidery,Light mirror work,Pastel shades,Office use,Above 2000,Above 4000,500-1500,Sometimes,Free shipping,Yes,Product images,1,Yes,Highly likely
21-30,Female,Tier 1,West Bengal,Business Owner,100000-200000,Rarely,Instagram stores,Brand,Traditional,"Gift sets, Jackets / shrugs, Laptop sleeves / utility pouches",Sling bag,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Office use,Above 2000,Above 4000,Below 500,No,Free shipping,No,Product images,4,No,Highly likely
Below 20,Female,Tier 2,Karnataka,Other,100000-200000,Occasionally,Online marketplaces,Utility,Depends on product,"Jackets / shrugs, Handbags, Laptop sleeves / utility pouches",Sling bag,Cushion covers,Minimal embroidery,No mirror work,Pastel shades,Festive use,500-1000,2000-4000,1500-3000,Sometimes,Free shipping,Depends on reviews,Reviews,5,No,Highly likely
21-30,Female,Metro,West Bengal,Business Owner,100000-200000,Rarely,Instagram stores,Utility,Fusion,"Laptop sleeves / utility pouches, Gift sets",Office handbag,Table runners,Heavy embroidery,No mirror work,Earth tones,Gifting,Above 2000,1000-2000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Product images,5,No,Unsure
41-50,Female,Metro,Gujarat,Freelancer,100000-200000,Occasionally,During travel,Price,Fusion,"Gift sets, Cushion covers",Tote bag,Wall décor textile,Minimal embroidery,Strong mirror work,Bright colors,Festive use,1000-2000,Above 4000,Below 500,Sometimes,Buy 2 Get 1,Yes,Reviews,4,No,Highly likely
Above 50,Male,Tier 2,Rajasthan,Other,25000-50000,Frequently,During travel,Design,Traditional,Gift sets,Sling bag,Cushion covers,Heavy embroidery,No mirror work,Earth tones,Festive use,Above 2000,2000-4000,Above 3000,No,Flat discount,No,Return policy,3,Yes,Unsure
21-30,Female,Metro,Telangana,Business Owner,Below 25000,Never,Retail stores,Authenticity,Fusion,"Handbags, Jackets / shrugs",Clutch,Cushion covers,Minimal embroidery,Strong mirror work,Earth tones,Daily use,1000-2000,Above 4000,Above 3000,Sometimes,Flat discount,Depends on reviews,Return policy,3,No,Unlikely
31-40,Male,Tier 3 / Rural,Maharashtra,Salaried Employee,Above 200000,Occasionally,During travel,Utility,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches",Tote bag,Cushion covers,Moderate embroidery,Light mirror work,Pastel shades,Daily use,1000-2000,2000-4000,1500-3000,Strongly yes,Festival combo pack,Yes,Reviews,2,No,Likely
Below 20,Female,Metro,Delhi,Other,Below 25000,Occasionally,During travel,Authenticity,Minimal modern,"Jackets / shrugs, Handbags",Office handbag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Festive use,Below 500,2000-4000,500-1500,Strongly yes,Free shipping,Depends on reviews,Product images,4,No,Unsure
41-50,Female,Metro,Delhi,Freelancer,50000-100000,Frequently,During travel,Design,Fusion,"Gift sets, Jackets / shrugs",Tote bag,Wall décor textile,Heavy embroidery,Strong mirror work,Earth tones,Festive use,Above 2000,Below 1000,500-1500,No,Flat discount,Depends on reviews,Reviews,4,Yes,Unsure
Below 20,Female,Tier 3 / Rural,Gujarat,Other,Below 25000,Rarely,Retail stores,Authenticity,Depends on product,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Office handbag,Decorative organizers,Heavy embroidery,No mirror work,Earth tones,Gifting,Below 500,2000-4000,Below 500,No,Flat discount,No,Brand story,3,Yes,Very unlikely
Above 50,Female,Tier 3 / Rural,Delhi,Freelancer,25000-50000,Frequently,Local exhibitions,Brand,Traditional,Jackets / shrugs,Sling bag,Cushion covers,Moderate embroidery,No mirror work,Black / neutral,Weddings,Below 500,Below 1000,500-1500,Sometimes,Festival combo pack,Yes,Brand story,2,Yes,Unsure
41-50,Female,Tier 1,Karnataka,Business Owner,25000-50000,Never,Retail stores,Authenticity,Traditional,Laptop sleeves / utility pouches,Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Pastel shades,Daily use,Above 2000,Below 1000,1500-3000,Strongly yes,Flat discount,Yes,Return policy,3,Yes,Likely
